iter	Logloss
0	0.6837884784
1	0.6742507769
2	0.6644877016
3	0.6552827166
4	0.6463286009
5	0.6371879494
6	0.6293642654
7	0.6218252377
8	0.6138074157
9	0.6069342854
10	0.599947006
11	0.5926382029
12	0.5860271746
13	0.5794621354
14	0.5721557484
15	0.5660581264
16	0.5599894573
17	0.5537023294
18	0.5480173037
19	0.5432082474
20	0.5373322052
21	0.5323539684
22	0.526709885
23	0.5219371046
24	0.5173059416
25	0.5127250835
26	0.5086383199
27	0.5045085515
28	0.5005433795
29	0.4964771381
30	0.4920835888
31	0.4885135616
32	0.4851011721
33	0.4812689893
34	0.4779713633
35	0.4746379297
36	0.4714062546
37	0.4678764216
38	0.464591327
39	0.4615478948
40	0.4587847004
41	0.4559856384
42	0.4534033661
43	0.450256888
44	0.4478205119
45	0.4452023346
46	0.4426589435
47	0.4400204128
48	0.437670931
49	0.4354738424
50	0.4335255114
51	0.4313199561
52	0.4291437872
53	0.4266984214
54	0.4248044258
55	0.4228431026
56	0.4208541536
57	0.4188965122
58	0.4167259487
59	0.4149033161
60	0.4134072407
61	0.4116642007
62	0.4097599277
63	0.4084250603
64	0.4068921464
65	0.4050744202
66	0.4033664572
67	0.4017789389
68	0.400131679
69	0.398559584
70	0.3971046275
71	0.3958744587
72	0.3946474683
73	0.3933442734
74	0.3918351769
75	0.3904688185
76	0.3893687128
77	0.3882851164
78	0.3869276783
79	0.3857680232
80	0.3846999771
81	0.383487212
82	0.3822437989
83	0.3813050816
84	0.3799009338
85	0.3787939314
86	0.3778890106
87	0.3768480751
88	0.3758998336
89	0.3745880698
90	0.3738366249
91	0.3730497108
92	0.3719590372
93	0.3709448842
94	0.3700267346
95	0.3689259308
96	0.367824383
97	0.3670351641
98	0.3661006341
99	0.3650052451
100	0.3640711824
101	0.3631174907
102	0.3621565949
103	0.3611774317
104	0.3602848893
105	0.3596286479
106	0.3587499778
107	0.3581369122
108	0.3575046581
109	0.3567693195
110	0.3559185556
111	0.3550503042
112	0.3542706564
113	0.3535878873
114	0.3527958389
115	0.3521930495
116	0.3515535446
117	0.3507594135
118	0.3501697105
119	0.3494530075
120	0.3490264103
121	0.3484779491
122	0.3477871358
123	0.3471203759
124	0.3465630711
125	0.3459280423
126	0.3454119776
127	0.3449085604
128	0.3444105464
129	0.3438896756
130	0.3434309249
131	0.3429255135
132	0.3422560091
133	0.3417433902
134	0.3412635286
135	0.3409078639
136	0.3404748396
137	0.3400246373
138	0.3395469375
139	0.3388503213
140	0.3384075946
141	0.3379378151
142	0.3374307002
143	0.3369765584
144	0.3365103215
145	0.3361096653
146	0.3356378069
147	0.3350975119
148	0.3346474515
149	0.3342039329
150	0.3338911677
151	0.333489807
152	0.3330740844
153	0.3327414191
154	0.3322979195
155	0.3320279019
156	0.3316948679
157	0.3313009151
158	0.3308900731
159	0.3304925129
160	0.3301051659
161	0.3296983602
162	0.3293282904
163	0.3290594485
164	0.3286869641
165	0.3282138016
166	0.327827731
167	0.3275992717
168	0.3271721477
169	0.3267146684
170	0.3262367242
171	0.3258932268
172	0.3256426432
173	0.3253474854
174	0.3249246979
175	0.324610211
176	0.3243600456
177	0.3240537303
178	0.323672487
179	0.3234512481
180	0.3231683562
181	0.3227888812
182	0.3225504808
183	0.3222717941
184	0.3219285245
185	0.3216322212
186	0.3212819634
187	0.3210654146
188	0.3208074443
189	0.320448706
190	0.3201286004
191	0.3199222776
192	0.3196236312
193	0.3193645864
194	0.3190884758
195	0.3188835525
196	0.3184841506
197	0.3180758935
198	0.3178394722
199	0.3174990966
200	0.317263528
201	0.3170022308
202	0.316691825
203	0.3163953116
204	0.3161459903
205	0.3159358078
206	0.3157363652
207	0.3155091951
208	0.3152553425
209	0.3150222391
210	0.3147699964
211	0.3145571734
212	0.3143552553
213	0.3141616609
214	0.3139189302
215	0.3136275463
216	0.3133273882
217	0.3131451178
218	0.3128377855
219	0.3125336799
220	0.3122628377
221	0.3119828903
222	0.3116680365
223	0.3115091031
224	0.3113311186
225	0.3110323066
226	0.3107920197
227	0.3105743902
228	0.3103509021
229	0.3101499531
230	0.3099336569
231	0.309702774
232	0.3095048329
233	0.3092967062
234	0.3090367575
235	0.3088454529
236	0.308534446
237	0.3083561485
238	0.3080955943
239	0.3078951995
240	0.3076975677
241	0.3075033632
242	0.3073416456
243	0.3071771032
244	0.3069916615
