iter	Passed	Remaining
0	22	45855
1	49	49775
2	73	48654
3	99	49492
4	124	49664
5	151	50305
6	178	50790
7	203	50728
8	229	50696
9	254	50740
10	281	50852
11	306	50809
12	332	50804
13	358	50843
14	383	50726
15	408	50651
16	435	50804
17	460	50673
18	484	50501
19	510	50519
20	535	50467
21	562	50532
22	586	50435
23	611	50348
24	635	50226
25	660	50129
26	683	49959
27	709	49971
28	735	49960
29	760	49916
30	798	50709
31	823	50618
32	846	50455
33	873	50488
34	897	50404
35	922	50335
36	947	50285
37	973	50241
38	997	50147
39	1024	50180
40	1050	50172
41	1074	50099
42	1099	50040
43	1125	50029
44	1151	50043
45	1182	50240
46	1226	50956
47	1258	51171
48	1284	51158
49	1309	51081
50	1334	51015
51	1360	50974
52	1386	50939
53	1412	50907
54	1440	50936
55	1467	50946
56	1494	50939
57	1520	50896
58	1545	50836
59	1569	50737
60	1593	50658
61	1620	50668
62	1644	50575
63	1670	50525
64	1696	50490
65	1719	50383
66	1747	50406
67	1772	50347
68	1797	50308
69	1822	50251
70	1849	50240
71	1873	50175
72	1899	50154
73	1925	50114
74	1950	50056
75	1974	49995
76	2001	49980
77	2027	49950
78	2053	49926
79	2078	49880
80	2103	49843
81	2129	49801
82	2153	49744
83	2179	49717
84	2204	49671
85	2230	49640
86	2254	49582
87	2279	49536
88	2304	49477
89	2328	49409
90	2353	49374
91	2379	49346
92	2405	49324
93	2430	49289
94	2457	49273
95	2482	49231
96	2507	49190
97	2532	49150
98	2559	49140
99	2584	49107
100	2609	49070
101	2635	49034
102	2660	49006
103	2684	48947
104	2709	48901
105	2732	48817
106	2761	48857
107	2801	49079
108	2826	49034
109	2851	48998
110	2877	48964
111	2903	48949
112	2928	48911
113	2954	48870
114	2979	48833
115	3004	48790
116	3028	48744
117	3056	48746
118	3083	48738
119	3108	48698
120	3133	48658
121	3157	48608
122	3183	48582
123	3209	48550
124	3233	48506
125	3258	48459
126	3282	48403
127	3305	48349
128	3332	48327
129	3354	48259
130	3380	48224
131	3405	48187
132	3430	48161
133	3456	48128
134	3483	48118
135	3509	48094
136	3534	48060
137	3558	48016
138	3585	47998
139	3610	47962
140	3637	47952
141	3663	47933
142	3687	47888
143	3711	47841
144	3736	47801
